,trump,social distancing,Wuhan,chinese virus,New York,Los Angeles,Chicago,Washington,mask,economy,health care,fauci,death|deadly|mortality,stay.*home,Flatten the curve,Outbreak,Epidemic,Pandemic,lockdown,science,China,test,wet market,travel ban,vaccine,symptoms,wash.*hands,treatment,isolation,panic buying,toilet paper
trump,0,480,1394,614,1258,84,162,2860,2106,2034,862,1218,5480,798,64,6020,850,6426,666,966,10902,8216,14,624,1498,520,224,808,110,22,90
social distancing,480,0,54,18,62,24,26,102,158,36,94,54,272,1500,254,242,32,658,806,56,88,260,0,16,50,50,260,24,264,10,42
Wuhan,1394,54,0,414,544,92,214,1286,872,292,324,38,7154,142,4,13226,1416,2194,1574,990,31248,3556,178,194,546,1424,128,288,190,18,28
chinese virus,614,18,414,0,10,4,2,20,30,18,6,12,96,82,4,128,8,152,82,2,594,52,4,6,14,8,4,0,8,0,2
New York,1258,62,544,10,0,88,76,428,240,108,110,36,1190,164,22,892,120,654,258,76,1314,1376,0,22,52,162,28,132,86,2,4
Los Angeles,84,24,92,4,88,0,38,50,78,12,12,0,144,38,0,196,2,104,58,66,314,200,0,0,2,30,8,2,12,6,10
Chicago,162,26,214,2,76,38,0,124,90,26,42,4,214,74,6,234,18,168,50,10,342,196,0,8,10,44,22,10,38,0,4
Washington,2860,102,1286,20,428,50,124,0,270,220,190,62,2144,124,118,1780,216,586,134,178,2764,1810,6,44,116,160,126,82,62,4,10
mask,2106,158,872,30,240,78,90,270,0,102,562,48,564,402,46,1866,154,834,174,168,3780,904,2,28,116,246,626,70,78,22,132
economy,2034,36,292,18,108,12,26,220,102,0,176,28,606,100,12,1200,246,708,216,36,2850,412,2,44,78,48,10,24,18,0,4
health care,862,94,324,6,110,12,42,190,562,176,0,24,440,258,62,810,182,804,96,104,804,1040,0,10,142,134,76,150,68,4,6
fauci,1218,54,38,12,36,0,4,62,48,28,24,0,286,60,10,188,22,266,36,58,134,222,4,32,178,16,6,58,8,0,4
death|deadly|mortality,5480,272,7154,96,1190,144,214,2144,564,606,440,286,0,616,76,8674,1166,2566,990,530,20254,5010,16,116,694,1086,212,410,124,14,22
stay.*home,798,1500,142,82,164,38,74,124,402,100,258,60,616,0,452,596,64,1308,1752,88,412,682,4,14,62,276,816,40,308,24,52
Flatten the curve,64,254,4,4,22,0,6,118,46,12,62,10,76,452,0,222,4,188,104,20,30,90,0,2,12,20,88,6,32,0,10
Outbreak,6020,242,13226,128,892,196,234,1780,1866,1200,810,188,8674,596,222,0,1328,4404,1428,1272,27002,5350,118,292,790,1006,332,318,230,104,160
Epidemic,850,32,1416,8,120,2,18,216,154,246,182,22,1166,64,4,1328,0,694,130,200,3210,462,4,48,148,80,48,84,36,0,4
Pandemic,6426,658,2194,152,654,104,168,586,834,708,804,266,2566,1308,188,4404,694,0,1120,588,4162,2390,34,104,424,264,304,196,296,54,180
lockdown,666,806,1574,82,258,58,50,134,174,216,96,36,990,1752,104,1428,130,1120,0,174,2154,726,4,64,96,76,78,24,268,18,44
science,966,56,990,2,76,66,10,178,168,36,104,58,530,88,20,1272,200,588,174,0,1728,924,12,24,572,316,66,230,20,0,6
China,10902,88,31248,594,1314,314,342,2764,3780,2850,804,134,20254,412,30,27002,3210,4162,2154,1728,0,8332,206,990,1234,2478,268,948,348,22,62
test,8216,260,3556,52,1376,200,196,1810,904,412,1040,222,5010,682,90,5350,462,2390,726,924,8332,0,10,112,1588,2860,194,1062,762,14,86
wet market,14,0,178,4,0,0,0,6,2,2,0,4,16,4,0,118,4,34,4,12,206,10,0,0,2,2,4,4,2,0,2
travel ban,624,16,194,6,22,0,8,44,28,44,10,32,116,14,2,292,48,104,64,24,990,112,0,0,6,10,8,12,36,2,0
vaccine,1498,50,546,14,52,2,10,116,116,78,142,178,694,62,12,790,148,424,96,572,1234,1588,2,6,0,144,70,496,24,2,2
symptoms,520,50,1424,8,162,30,44,160,246,48,134,16,1086,276,20,1006,80,264,76,316,2478,2860,2,10,144,0,160,406,184,2,20
wash.*hands,224,260,128,4,28,8,22,126,626,10,76,6,212,816,88,332,48,304,78,66,268,194,4,8,70,160,0,16,50,22,68
treatment,808,24,288,0,132,2,10,82,70,24,150,58,410,40,6,318,84,196,24,230,948,1062,4,12,496,406,16,0,62,0,2
isolation,110,264,190,8,86,12,38,62,78,18,68,8,124,308,32,230,36,296,268,20,348,762,2,36,24,184,50,62,0,14,24
panic buying,22,10,18,0,2,6,0,4,22,0,4,0,14,24,0,104,0,54,18,0,22,14,0,2,2,2,22,0,14,0,198
toilet paper,90,42,28,2,4,10,4,10,132,4,6,4,22,52,10,160,4,180,44,6,62,86,2,0,2,20,68,2,24,198,0
