,date,trump,social distancing,Wuhan,chinese virus,New York,Los Angeles,Chicago,Washington,mask,economy,health care,fauci,death|deadly|mortality,stay&home,Flatten the curve,Outbreak,Epidemic,Pandemic,Herd immunity,lockdown,science,China,test,wet market,travel ban,vaccine,symptoms,contact tracing,wash&hands,treatment,isolation,panic buying,toilet paper
0,2020-01-20,36,0,1310,18,56,16,3,16,41,11,71,1,611,0,0,1111,77,82,0,2,68,5936,223,3,2,24,188,1,0,33,11,0,0
0,2020-01-21,151,0,2138,12,91,17,53,1150,60,10,44,0,827,0,0,506,49,87,1,2,109,3230,185,2,10,78,118,1,0,34,25,0,1
0,2020-01-22,153,0,1989,1,17,3,7,105,70,6,19,0,520,0,0,859,55,105,0,60,66,2791,109,3,38,78,75,0,0,17,6,0,0
0,2020-01-23,128,0,1536,0,25,68,5,66,128,42,23,5,511,0,0,1057,55,173,0,153,120,2609,416,14,30,130,140,0,0,33,6,0,0
0,2020-01-24,194,0,1305,3,65,1,211,90,98,5,25,0,552,0,0,774,50,105,1,96,137,2543,326,8,33,80,111,0,0,18,32,0,0
0,2020-01-25,94,0,1127,3,20,2,39,43,162,12,40,2,515,0,0,791,61,154,0,82,84,2083,156,4,14,77,120,0,0,19,23,0,0
0,2020-01-26,215,0,1252,4,22,60,22,66,177,42,26,0,689,0,0,928,89,144,0,31,145,2401,370,7,11,86,316,1,0,40,10,1,0
0,2020-01-27,147,0,1068,5,23,10,9,110,208,46,34,2,422,0,0,741,78,151,0,25,75,2184,475,9,7,82,155,0,0,24,14,1,0
0,2020-01-28,168,1,882,1,18,6,9,29,140,27,28,0,400,0,0,693,73,73,0,16,62,2187,249,6,26,153,107,0,0,45,15,0,0
0,2020-01-29,129,0,911,2,29,10,14,30,221,36,27,1,426,0,0,689,78,82,0,14,52,2132,270,1,13,114,96,0,0,20,12,0,0
0,2020-01-30,247,0,863,1,17,3,53,29,217,49,26,2,396,0,0,861,89,113,0,42,44,1951,275,3,20,90,92,1,0,25,12,0,0
0,2020-01-31,386,0,657,6,22,2,15,26,200,42,25,6,308,0,0,601,66,100,0,13,57,1758,282,4,43,85,80,0,0,34,4,0,1
0,2020-02-01,242,0,946,3,205,13,7,56,196,59,19,3,580,0,0,800,100,113,0,51,66,2345,460,1,52,91,83,1,0,43,34,4,0
0,2020-02-02,368,2,1204,0,57,4,9,61,162,81,28,5,688,0,0,692,97,273,2,33,55,2915,315,5,45,112,75,0,0,65,12,3,0
0,2020-02-03,147,6,1038,3,38,20,13,49,167,120,29,15,676,0,0,780,164,227,0,32,116,2864,316,5,33,105,91,0,0,50,22,0,0
0,2020-02-04,166,1,935,0,53,14,16,37,182,60,35,4,611,0,0,844,124,128,0,37,92,2541,400,5,30,73,83,0,0,47,18,0,0
0,2020-02-05,252,0,920,6,37,16,10,35,194,117,41,2,667,0,0,821,101,148,0,42,83,2561,499,3,17,108,114,1,0,80,24,1,2
